type,extensions,note_numbers
dominant,[],"[26, 36, 42]"
minor-seventh,[],"[25, 35, 40, 42]"
dominant,[],"[24, 34, 40, 42]"
major-seventh,[],"[23, 39, 42]"
minor-seventh,[],"[18, 37, 40, 45]"
dominant-13th,[],"[23, 33, 37, 44, 49]"
major-seventh,[],"[28, 35, 39, 44]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 42, 46]"
minor-seventh,[],"[27, 37, 42, 47]"
dominant,[],"[21, 31, 37, 42]"
dominant,[],"[36, 42, 47]"
dominant,[],"[26, 36, 40, 42]"
minor-seventh,[],"[25, 35, 41, 45, 52]"
dominant,[],"[30, 43, 46, 52]"
minor-seventh,[],"[27, 37, 41, 46, 51]"
dominant,[],"[32, 36, 42, 46, 52]"
minor-seventh,[],"[25, 35, 40, 44, 51]"
dominant,[],"[30, 34, 40, 43, 46, 51]"
major-seventh,[],"[23, 42, 46, 51]"
minor-seventh,[],"[40, 44, 49]"
dominant,[],"[39, 44, 47]"
minor-seventh,[],"[25, 44, 47, 52]"
minor-seventh,[],"[30, 40, 44, 49]"
minor-seventh,[],"[42, 49, 52, 57]"
half-diminished,[],"[41, 47, 50, 56]"
minor-seventh,[],"[40, 45, 49, 54]"
minor-seventh,[],"[37, 45, 49, 52]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[30, 37, 40, 45]"
dominant,[],"[24, 34, 37, 40, 45]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 44]"
major-seventh,[],"[28, 39, 42, 44, 47]"
minor-seventh,[],"[27, 37, 42, 45]"
dominant,[],"[26, 36, 42, 47]"
minor-seventh,[],"[25, 44, 47, 52]"
minor-seventh,[],"[22, 38, 42, 49]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}, {'degree': '11', 'alter': '1', 'type': 'add'}]","[28, 38, 42, 46]"
dominant,[],"[27, 37, 39, 41, 46]"
dominant-ninth,[],"[20, 32, 51]"
