type,extensions,note_numbers
major-seventh,[],"[21, 32, 52, 56, 61]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[34, 44, 48, 52]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[24, 34, 38, 41]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[23, 33, 37, 40]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[28, 38, 42, 45, 49]"
minor-seventh,[],"[26, 36, 38, 42, 47]"
minor-seventh,[],"[24, 34, 36, 40, 45]"
dominant-13th,[],"[32, 42, 44, 48, 52]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[29, 39, 44, 49]"
minor-seventh,[],"[22, 32, 37, 41, 46]"
dominant-ninth,[],"[27, 37, 43, 47, 52]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[34, 40, 44, 48]"
major-seventh,[],"[33, 40, 44, 49]"
major-seventh,[],"[32, 43, 48, 51]"
half-diminished,[],"[21, 31, 36, 39]"
minor-seventh,[],"[27, 37, 46, 49, 54]"
minor-seventh,[],"[32, 42, 46]"
minor-ninth,[],"[33, 43, 47]"
major-seventh,[],"[37, 42, 46]"
minor-seventh,[],"[39, 46, 49, 54]"
dominant,[],"[27, 37, 46, 49, 55]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","[32, 42, 46, 51, 56]"
major-minor,[],"[27, 37, 43, 47, 54]"
dominant-ninth,[],"[32, 42, 46, 51]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[20, 30, 36, 40]"
minor-seventh,[],"[25, 40, 44, 49]"
dominant,[],"[32, 42, 44, 48, 52]"
major-seventh,[],"[25, 40, 44, 51]"
dominant,[],"[34, 44, 48, 50, 55, 58]"
minor-seventh,[],"[29, 32, 36, 46, 51, 55]"
major-seventh,[],"[31, 38, 42, 45, 47, 50]"
dominant,[],"[26, 36, 40, 42, 47]"
minor-seventh,[],"[33, 36, 40, 43, 47, 50]"
major-seventh,[],"[27, 34, 41, 43, 46, 50]"
dominant,[],"[34, 38, 43, 46, 48]"
minor-seventh,[],"[29, 36, 44, 46, 51, 55]"
major-seventh,[],"[23, 34, 42, 46, 49]"
dominant,[],"[30, 34, 37, 40, 44, 46]"
minor-seventh,[],"[25, 32, 35, 39, 40, 42]"
major-seventh,[],"[31, 35, 38, 42, 45, 47]"
dominant,[],"[26, 33, 36, 40, 42, 45]"
minor-seventh,[],"[21, 35, 36, 40, 43]"
major-seventh,[],"[27, 34, 41, 43, 46, 50]"
dominant,[],"[22, 32, 43, 48, 50]"
major-seventh,[],"[19, 33, 38, 42, 47, 50]"
dominant,[],"[26, 36, 40, 45, 48, 54]"
major-seventh,[],"[23, 34, 46, 47, 51, 54]"
dominant,[],"[30, 40, 46, 49, 52, 54]"
minor-seventh,[],"[37, 44, 51, 52, 56, 59]"
major-seventh,[],"[31, 38, 45, 50, 54, 59]"
dominant,[],"[38, 45, 48, 50, 54, 59]"
major-seventh,[],"[35, 46, 51, 54, 58, 63]"
dominant,[],"[42, 46, 49, 51, 54, 58]"
major-seventh,[],"[39, 46, 50, 53, 53, 55, 58]"
dominant,[],"[36, 38, 43, 46, 53]"
minor-seventh,[],"[34, 39, 43, 60]"
major-seventh,[],"[30, 33, 35, 38, 59]"
dominant,[],"[28, 30, 35, 54]"
minor-seventh,[],"[28, 31, 35, 38, 60]"
major-seventh,[],"[29, 31, 34, 38, 43]"
dominant,[],"[31, 34, 36, 48]"
minor-seventh,[],"[32, 34, 39, 43, 56]"
major-seventh,[],"[30, 34, 37, 47]"
dominant,[],"[25, 28, 32, 34, 49]"
minor-seventh,[],"[23, 27, 28, 30, 49]"
major-seventh,[],"[26, 30, 33, 35, 59]"
dominant,[],"[24, 28, 30, 33, 54]"
minor-seventh,[],"[23, 24, 28, 31, 50]"
major-seventh,[],"[29, 31, 34, 38]"
dominant,[],"[31, 36, 38, 53]"
major-seventh,[],"[26, 30, 35, 38, 62]"
dominant,[],"[28, 33, 36, 42]"
major-seventh,[],"[34, 35, 39, 42, 59]"
dominant,[],"[34, 37, 40, 42, 52]"
minor-seventh,[],"[39, 40, 44, 47, 58, 61]"
major-seventh,[],"[33, 38, 42, 47, 54]"
dominant,[],"[36, 38, 42, 47, 54]"
major-seventh,[],"[39, 42, 46, 51, 59]"
dominant,[],"[34, 39, 42, 46, 51]"
major-seventh,[],"[38, 41, 43, 46, 56]"
dominant,[],"[36, 38, 43, 46, 53]"
minor-seventh,[],"[34, 39, 43, 60]"
major-seventh,[],"[30, 33, 35, 38, 66]"
dominant,[],"[28, 30, 35, 71]"
minor-seventh,[],"[28, 31, 35, 38, 76]"
major-seventh,[],"[29, 31, 34, 38, 55]"
dominant,[],"[31, 34, 36, 52]"
minor-seventh,[],"[32, 34, 39, 43, 60]"
major-seventh,[],"[30, 34, 37, 56]"
dominant,[],"[25, 28, 32, 34, 52]"
minor-seventh,[],"[23, 27, 28, 30, 59]"
major-seventh,[],"[26, 30, 33, 35, 57]"
dominant,[],"[24, 28, 30, 33, 66]"
minor-seventh,[],"[23, 24, 28, 31, 59]"
major-seventh,[],"[29, 31, 34, 38, 55]"
dominant,[],"[31, 36, 38, 65]"
major-seventh,[],"[26, 30, 35, 38]"
dominant,[],"[28, 33, 36, 42, 66]"
major-seventh,[],"[34, 35, 39, 42, 66]"
dominant,[],"[34, 37, 40, 42]"
minor-seventh,[],"[39, 40, 44, 47, 68]"
major-seventh,[],"[33, 38, 42, 47, 76]"
dominant,[],"[36, 38, 42, 47, 72]"
major-seventh,[],"[39, 42, 46, 51, 69]"
dominant,[],"[34, 39, 42, 42, 46]"
major-seventh,[],"[38, 41, 43, 46, 55]"
major,[],"[43, 47, 48, 52]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","[29, 43, 48, 49, 53]"
dominant,[],"[22, 43, 46, 48, 53]"
dominant,[],"[19, 42, 47, 48, 52]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[44, 47, 48, 52]"
dominant,[],"[42, 47, 48, 52]"
minor-ninth,[],"[13, 41, 45, 48, 52]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[31, 41, 44, 47, 52]"
major,[],"[16, 40, 43, 47, 50]"
minor-seventh,[],"[26, 46, 50, 53, 57]"
dominant,[],"[32, 46, 49, 52, 56]"
major,[],"[31, 45, 48, 52, 55]"
minor-seventh,[],"[29, 39, 43, 44, 48]"
dominant,[],"[38, 43, 44, 48]"
major,[],"[28, 38, 40, 43, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[26, 37, 40, 43, 46]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[28, 37, 41, 43, 46]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[25, 36, 42, 44, 47]"
minor-seventh,[],"[31, 40, 41, 45, 48]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '11', 'alter': '1', 'type': 'add'}]","[24, 41, 44, 47, 49]"
major,[],"[40, 43, 47, 50]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[29, 43, 48, 49, 53]"
dominant-13th,[],"[22, 43, 48, 49, 53]"
dominant-13th,[],"[19, 42, 47, 48, 52]"
minor-11th,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[21, 47, 52, 53, 57]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[28, 50, 55, 56, 60]"
minor,[],"[21, 48, 52, 54, 59]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[44, 48, 50, 55]"
dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[44, 48, 50, 55]"
minor,[],"[21, 43, 47, 48, 54]"
minor,[],"[28, 43, 47, 48, 54]"
half-diminished,[],"[31, 45, 47, 50, 53]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[31, 44, 46, 48, 52]"
minor,[],"[26, 42, 47, 48, 52]"
dominant,[],"[18, 42, 47, 48, 52]"
diminished-seventh,[],"[24, 42, 45, 48, 51]"
minor-seventh,[],"[32, 43, 47, 50]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[26, 46, 49, 52, 55]"
minor-seventh,[],"[19, 41, 45, 48, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '13', 'alter': '-1', 'type': 'add'}]","[28, 41, 44, 47, 51]"
major,[],"[24, 43, 47, 50, 52]"
major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","[36, 38, 40, 43, 55]"
major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","[29, 36, 43, 45, 48]"
minor-seventh,[],"[29, 36, 39, 44, 48, 51]"
minor-sixth,[],"[29, 36, 38, 44, 48]"
major-seventh,[],"[24, 31, 36, 40, 47]"
dominant-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[31, 34, 36, 45, 50]"
major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","[29, 36, 43, 45, 55]"
minor-seventh,[],"[29, 36, 39, 44, 48, 51]"
minor-sixth,[],"[29, 36, 38, 48]"
minor-seventh,[],"[21, 28, 35, 47, 52]"
dominant-ninth,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}]","[31, 34, 36, 40, 57]"
major,"[{'degree': '2', 'alter': '0', 'type': 'add'}]","[29, 36, 43, 45, 55]"
minor-seventh,[],"[29, 36, 39, 44, 48, 51]"
minor-sixth,[],"[29, 36, 38, 44, 48]"
major,[],"[32, 33, 37, 40, 44]"
dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","[31, 37, 41]"
minor-seventh,[],"[38, 40, 43, 47]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[37, 41, 43, 45, 48]"
dominant,[],"[33, 36, 42, 45]"
minor-seventh,[],"[36, 38, 41, 45, 48]"
dominant,[],"[35, 38, 41, 43, 47]"
major,[],"[28, 33, 37, 40]"
minor-seventh,[],"[30, 33, 35, 38, 42]"
minor-seventh,[],"[32, 35, 39, 40, 44]"
minor-seventh,[],"[24, 34, 39, 48]"
minor-seventh,[],"[23, 30, 33, 38]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[31, 35, 41, 45, 49]"
dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","[30, 34, 40, 44, 50]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[29, 33, 39, 43, 47]"
dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","[28, 32, 38, 41, 49]"
major,[],"[37, 40, 42, 45]"
minor-seventh,[],"[30, 33, 40, 45]"
dominant,[],"[29, 33, 39, 45]"
major,[],"[47, 49, 52, 56]"
dominant-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","[36, 42, 47, 56]"
major-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","[37, 42, 47, 52]"
minor-seventh,[],"[38, 43, 50, 54, 59]"
dominant-13th,[],"[37, 41, 43, 48, 53, 60]"
dominant,[],"[36, 42, 57]"
minor-seventh,[],"[33, 41, 48, 53, 60]"
dominant,[],"[47, 55, 59]"
major,[],"[37, 49, 52]"
minor-seventh,[],"[23, 38, 42, 50, 54]"
minor-seventh,[],"[25, 40, 44, 52, 56]"
minor-seventh,[],"[33, 40, 57]"
dominant,[],"[33, 39, 43, 57]"
dominant,[],"[38, 44, 52]"
dominant,[],"[38, 44, 49, 52]"
half-diminished,[],"[21, 30, 36, 39, 44]"
major-seventh,[],"[21, 32, 37, 40, 44]"
dominant,[],"[33, 35, 37, 40]"
minor-seventh,[],"[28, 35, 38, 42, 43]"
dominant-ninth,[],"[34, 38, 44, 48, 54]"
dominant,[],"[33, 37, 43, 47, 54]"
dominant-ninth,[],"[27, 37, 41, 43, 49]"
major-seventh,[],"[26, 37, 40, 42]"
major-seventh,[],"[26, 37, 42, 45, 52]"
dominant,[],"[31, 41, 45, 49, 52]"
major-seventh,[],"[33, 40, 44, 49]"
minor-seventh,[],"[30, 37, 40, 45]"
dominant,[],"[34, 40, 46, 49]"
minor-seventh,[],"[35, 38, 42, 45, 50]"
dominant,[],"[28, 38, 42, 44]"
dominant,[],"[25, 35, 39, 44, 49]"
minor-seventh,[],"[30, 40, 44]"
dominant,[],"[31, 41, 45, 48]"
dominant,[],"[24, 34, 40, 43, 46]"
minor-seventh,[],"[23, 33, 37, 38, 42]"
dominant,[],"[28, 38, 52]"
minor-seventh,[],"[35, 38, 42, 45, 50]"
dominant,[],"[28, 38, 42, 44]"
major-sixth,[],"[38, 42, 45]"
suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}]","[28, 38, 41, 45]"
dominant,[],"[21, 31, 37, 41, 45]"
minor-seventh,[],"[33, 40, 44, 49]"
dominant,[],"[39, 44, 48, 54]"
minor-seventh,[],"[28, 38, 47, 50, 55]"
dominant-13th,[],"[34, 38, 44, 48, 55]"
dominant-13th,[],"[21, 43, 47, 55]"
dominant,[],"[33, 43, 49, 52, 58]"
major-seventh,[],"[26, 37, 45, 49, 54]"
minor-seventh,[],"[28, 38, 43, 45, 54]"
minor-seventh,[],"[30, 40, 42, 45, 54]"
major-seventh,[],"[26, 37, 42, 45]"
dominant,[],"[26, 36, 40, 43, 50]"
minor-seventh,[],"[27, 37, 45, 49, 56]"
dominant,[],"[32, 42, 45, 48, 56]"
minor-seventh,[],"[30, 40, 42, 45]"
dominant,[],"[35, 45, 49, 56]"
minor-seventh,[],"[25, 35, 44, 49, 52]"
dominant,[],"[18, 34, 40, 43, 48]"
minor-seventh,[],"[23, 33, 42, 50]"
dominant,[],"[28, 38, 41, 44, 49]"
half-diminished,[],"[33, 36, 39, 44]"
major-seventh,[],"[37, 40, 44]"
minor-seventh,[],"[28, 38, 43]"
dominant,[],"[33, 43, 47, 52]"
major-seventh,[],"[26, 45, 49, 54]"
half-diminished,[],"[37, 43, 45, 52]"
minor-seventh,[],"[35, 42, 45, 50]"
minor-seventh,[],"[26, 36, 45, 48, 52]"
dominant,[],"[24, 34, 42, 46, 52]"
dominant,[],"[22, 28, 38, 44, 48, 52]"
major-seventh,[],"[21, 40, 44, 49]"
dominant,[],"[20, 42, 47, 50]"
dominant,[],"[19, 45, 49, 52]"
dominant,[],"[18, 40, 45]"
minor-seventh,[],"[25, 35, 40, 44, 47]"
dominant,[],"[30, 40, 43, 49]"
minor-seventh,[],"[23, 33, 42, 45, 50]"
dominant,[],"[28, 38, 42, 44]"
major-seventh,[],"[21, 37, 39, 44]"
dominant-ninth,[],"[23, 35, 37, 41]"
dominant,[],"[22, 32, 37, 49, 56]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[27, 31, 39, 47, 54]"
minor-seventh,[],"[32, 42, 44, 46]"
dominant,[],"[25, 37, 39, 41, 47]"
minor-seventh,[],"[25, 37, 39, 41, 47]"
minor-seventh,[],"[25, 37, 39, 41, 47]"
minor-seventh,[],"[32, 35, 39, 42]"
minor-seventh,[],"[32, 35, 39, 42]"
diminished,[],"[31, 37, 43, 49]"
minor-seventh,[],"[31, 43, 51]"
minor-seventh,[],"[31, 43, 51]"
minor-seventh,[],"[30, 32, 42, 44]"
minor-seventh,[],"[30, 32, 42, 44]"
dominant-ninth,[],"[30, 35, 37, 42, 47, 51]"
suspended-fourth,[],"[30, 30, 35, 40, 47]"
dominant,[],"[34, 49, 51]"
dominant-ninth,[],"[22, 29, 36, 38, 41]"
dominant-ninth,[],"[23, 27, 30, 37, 39, 42]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[27, 31, 37, 47, 54]"
diminished,[],"[28, 34, 43, 46]"
major,[],"[27, 35, 42, 47]"
dominant,[],"[26, 36, 40, 42, 47]"
minor-seventh,[],"[25, 35, 37, 40, 42]"
dominant,[],"[25, 35, 37, 39, 51, 56]"
minor-seventh,[],"[25, 28, 39, 40, 44]"
minor-seventh,[],"[28, 44, 49, 51]"
dominant-ninth,[],"[32, 40, 42, 51]"
major,[],"[23, 30, 39, 47]"
dominant,[],"[23, 30, 33, 35, 39, 42]"
diminished,[],"[34, 40, 43, 49]"
major-sixth,[],"[35, 42, 44, 51]"
dominant,[],"[36, 42, 44, 54]"
minor,[],"[37, 42, 44, 52]"
dominant,[],"[36, 42, 44, 51]"
minor,[],"[35, 40, 42, 44, 49]"
major-minor,[],"[28, 37, 40, 42, 43, 49]"
dominant,[],"[33, 37, 42, 43, 49]"
major,[],"[27, 37, 44, 46]"
suspended-fourth,[],"[32, 37, 42, 44, 49, 58]"
dominant,[],"[32, 36, 42, 44, 48]"
dominant,[],"[32, 36, 42, 44, 48]"
minor-seventh,[],"[25, 32, 39, 40, 44, 54]"
suspended-fourth,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[35, 40, 43, 51]"
dominant,[],"[30, 40, 44]"
dominant,[],"[30, 40, 44]"
dominant-ninth,[],"[23, 37, 39, 41]"
major,[],"[22, 29, 32, 56]"
diminished,[],"[37, 43, 46]"
minor-seventh,[],"[32, 35, 46, 49]"
dominant,[],"[29, 35, 37, 43, 47]"
minor-seventh,[],"[27, 42, 47]"
minor-seventh,[],"[27, 42, 47]"
dominant,[],"[29, 44, 51]"
major,[],"[27, 39, 42, 47]"
major,[],"[28, 39, 42, 44]"
major,[],"[28, 39, 42, 44]"
dominant-ninth,[],"[23, 39, 42, 51]"
dominant,[],"[36, 39, 42]"
dominant,[],"[30, 37, 44, 54]"
dominant-ninth,[],"[23, 30, 39, 42]"
dominant,[],"[22, 32, 56]"
dominant,[],"[27, 37, 54]"
minor-seventh,[],"[20, 35, 39]"
minor-seventh,[],"[37, 42, 49]"
minor,[],"[28, 43, 51]"
suspended-fourth,[],"[30, 35, 44, 54]"
dominant,[],"[25, 35, 44]"
dominant,[],"[30, 40, 47]"
minor-seventh,[],"[27, 37, 44, 46]"
major,[],"[23, 32, 49]"
dominant,[],"[30, 34, 46]"
major,[],"[23, 30, 34, 40]"
dominant,[],"[32, 38, 58]"
dominant,[],"[27, 31, 37, 42]"
minor-seventh,[],"[27, 35, 42]"
dominant,[],"[25, 32, 47]"
minor-seventh,[],"[25, 32, 37, 44]"
dominant,[],"[25, 32, 37, 44]"
dominant,[],"[25, 32, 37, 44]"
major,[],"[30, 35, 42, 46]"
minor,[],"[28, 35, 43, 59]"
dominant,[],"[29, 37, 44]"
minor-seventh,[],"[30, 40, 47, 52, 54]"
major,[],"[28, 39, 44]"
major,[],"[27, 42, 51]"
diminished,[],"[26, 41, 56]"
minor-seventh,[],"[25, 40, 44]"
suspended-fourth,[],"[30, 40, 50, 51]"
major,[],"[23, 30, 39, 42]"
minor,[],"[25, 40, 47]"
major,[],"[27, 30, 37, 42, 47]"
major,[],"[28, 35, 44, 49]"
major,[],"[28, 35, 39, 51]"
major-sixth,[],"[28, 37, 44]"
minor-seventh,[],"[28, 38, 43, 54]"
major-sixth,[],"[28, 38, 43, 54]"
major-sixth,[],"[28, 38, 43, 54]"
dominant,[],"[30, 34, 40, 52]"
major-sixth,[],"[37, 44, 47]"
major-sixth,[],"[37, 44, 47]"
dominant,[],"[30, 34, 37, 39, 43, 46, 51]"
suspended-fourth,[],"[32, 42, 44, 49]"
minor-seventh,[],"[39, 44, 61]"
dominant,[],"[21, 37, 66]"
minor-seventh,[],"[27, 42, 51]"
suspended-fourth,[],"[32, 39, 42, 44, 56]"
minor,[],"[25, 40, 51]"
suspended-fourth,[],"[30, 40, 48]"
major,[],"[23, 39, 42]"
minor-seventh,[],"[35, 37, 40, 51]"
major,[],"[25, 34, 58]"
dominant,[],"[27, 31, 45]"
minor-seventh,[],"[20, 35, 54]"
suspended-fourth,[],"[25, 35, 42]"
dominant,[],"[25, 29, 35, 37, 44]"
dominant,[],"[26, 38, 46]"
minor-seventh,[],"[25, 40, 44]"
major,[],"[27, 42, 54]"
major-minor,[],"[28, 43, 63]"
dominant,[],"[30, 40, 42]"
major,[],"[23, 30, 39, 42]"
diminished,[],"[30, 44, 56]"
major,[],"[30, 35, 44, 52]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[30, 34, 43, 57]"
major,[],"[23, 30, 39]"
dominant,[],"[32, 38, 53]"
dominant,[],"[27, 31, 39, 63]"
dominant,[],"[35, 39, 41, 46, 47, 51, 59, 63]"
dominant,[],"[25, 37, 39, 51]"
suspended-fourth,[],"[22, 27, 29, 38]"
minor-seventh,[],"[25, 37, 39, 63]"
major,[],"[27, 37, 39, 42, 47]"
diminished,[],"[26, 38, 41, 46, 49]"
minor-seventh,[],"[25, 35, 37, 42, 44, 51]"
major,[],"[23, 39, 42, 44, 46, 49]"
suspended-fourth,[],"[30, 35, 44, 52]"
dominant,[],"[31, 36, 49]"
major,[],"[23, 39, 49]"
dominant,[],"[32, 38, 56]"
dominant,[],"[27, 37, 39, 53]"
minor-seventh,[],"[20, 35, 39, 49]"
minor-seventh,[],"[26, 41, 45]"
dominant,[],"[25, 35, 43]"
minor-seventh,[],"[27, 39, 51]"
minor-seventh,[],"[26, 36, 40]"
dominant,[],"[25, 35, 37, 48]"
minor-seventh,[],"[35, 40, 42, 44, 49]"
major,[],"[30, 35, 42, 54]"
dominant-ninth,[],"[28, 42, 44, 59]"
major,[],"[23, 30, 39, 42]"
minor-seventh,[],"[25, 35, 37, 39, 40, 40]"
diminished,[],"[26, 35, 38, 41, 44, 47]"
minor-seventh,[],"[27, 37, 39, 42, 46]"
suspended-fourth,[],"[35, 40, 42, 45, 54]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 39, 48, 56]"
major,[],"[28, 32, 44, 49]"
minor,[],"[21, 28, 36, 40, 42, 48, 54]"
minor-seventh,[],"[25, 32, 37, 39, 42, 44, 51]"
dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","[15, 30, 37, 43, 45, 49]"
dominant,[],"[21, 37, 42, 43, 49]"
major,[],"[27, 37, 39, 42, 46]"
suspended-fourth,[],"[32, 37, 42, 49, 58]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[36, 45, 50]"
major-minor,[],"[25, 28, 32, 36, 44, 48, 54]"
suspended-fourth,[],"[30, 35, 40, 44, 51]"
dominant,[],"[30, 34, 40, 42, 49]"
major,[],"[23, 39, 41, 53]"
dominant,[],"[22, 56, 68]"
dominant,[],"[27, 37, 46, 58]"
minor-seventh,[],"[20, 35, 49, 61]"
major,[],"[39, 42, 46, 47]"
minor-seventh,[],"[25, 32, 35, 37, 39, 51, 63]"
dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","[25, 32, 37, 39, 41, 43, 46, 51]"
minor-seventh,[],"[25, 32, 35, 37, 40, 47]"
minor-seventh,[],"[27, 35, 42, 47, 59]"
major-sixth,[],"[28, 44, 51, 54]"
suspended-fourth,[],"[30, 40, 47]"
minor-seventh,[],"[25, 40, 52]"
minor-seventh,[],"[27, 42, 59, 71]"
major,[],"[28, 44, 50, 51, 62, 63]"
suspended-fourth,[],"[30, 40, 42, 44, 52]"
minor-seventh,[],"[25, 40, 59]"
minor-seventh,[],"[27, 42, 66]"
suspended-fourth,[],"[30, 44, 47]"
minor-seventh,[],"[25, 40, 47]"
minor-seventh,[],"[27, 42, 63]"
major,[],"[28, 44, 63]"
suspended-fourth,[],"[30, 42, 44, 49]"
major,[],"[23, 30, 35, 39, 47, 47]"
dominant,[],"[21, 28, 37, 44, 49]"
major,[],"[23, 30, 35, 39, 47]"
minor-seventh,[],"[20, 28, 35, 42, 47, 56]"
dominant,[],"[18, 30, 37, 39, 42, 51]"
major,[],"[16, 32, 44]"
major,[],"[11, 23, 39, 42, 51]"
major,[],"[16, 28, 44, 47, 51, 56]"
major,[],"[18, 30, 42, 46, 54]"
minor-seventh,[],"[20, 32, 35, 44, 47]"
dominant,[],"[11, 23, 39, 45, 51]"
major,[],"[15, 27, 35, 42, 47]"
major,[],"[16, 28, 44, 47, 56]"
major,[],"[10, 22, 42, 49, 54]"
major,[],"[11, 23, 39, 42, 51]"
dominant-ninth,[],"[16, 28, 40, 42, 44, 47]"
major,[],"[16, 28, 39, 42, 44, 47]"
dominant,[],"[39, 44, 47]"
dominant,[],"[18, 25, 34, 37, 44]"
dominant-ninth,[],"[16, 28, 35, 42, 44, 47]"
major,[],"[6, 18, 34, 42, 46]"
major,[],"[6, 18, 34, 42, 46]"
major,[],"[11, 18, 34, 35]"
major,[],"[4, 20, 35, 39, 42]"
major,[],"[6, 18, 39, 42]"
major,[],"[11, 23, 35, 39, 42]"
minor-seventh,[],"[43, 50, 52, 59]"
minor-seventh,[],"[33, 40, 43, 48]"
major-minor,[],"[43, 51, 54, 59]"
minor-sixth,[],"[37, 43, 47, 52]"
minor-sixth,[],"[33, 40, 42, 48]"
major-sixth,[],"[32, 35, 37, 40]"
diminished,[],"[33, 36, 39, 42]"
major-sixth,[],"[32, 35, 37, 40]"
diminished,[],"[33, 36, 39, 42]"
major-sixth,[],"[28, 32, 35, 37, 40]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 33, 36, 39, 42]"
major-sixth,[],"[28, 35, 37, 40, 44]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 36, 39, 42, 45]"
major-sixth,[],"[28, 37, 40, 44, 47]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 39, 42, 45, 48]"
major-sixth,[],"[28, 40, 44, 47, 49]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 42, 45, 48, 51]"
major-sixth,[],"[28, 44, 47, 49, 52]"
other,[],"[39, 42, 45, 48]"
dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","[23, 39, 42, 45, 48]"
major-sixth,[],"[28, 32, 35, 37, 40]"
major-sixth,[],"[25, 32, 35, 40]"
major-sixth,[],"[32, 35, 37, 40]"
major-sixth,[],"[25, 32, 35, 40]"
other,[],"[33, 36, 39, 42]"
other,[],"[27, 33, 36, 42]"
major-sixth,[],"[32, 35, 37, 40]"
other,[],"[33, 36, 39, 42]"
major-sixth,[],"[35, 37, 40, 44]"
other,[],"[33, 36, 39, 42]"
major-sixth,[],"[32, 35, 37, 40]"
major-sixth,[],"[25, 32, 35, 37, 40]"
other,[],"[27, 33, 36, 39, 42]"
major-sixth,[],"[28, 35, 37, 40, 44]"
other,[],"[27, 33, 36, 39, 42]"
major-sixth,[],"[25, 32, 35, 37, 40]"
