root,type,extensions,notes,note_numbers
D,other,[],"['D3', 'Ab3', 'B3', 'F4']","[30, 36, 39, 45]"
C,dominant,[],"['E3', 'Bb3', 'C4', 'G4']","[32, 38, 40, 47]"
D,other,[],"['F#3', 'C4', 'Eb4', 'A4']","[34, 40, 43, 49]"
C,dominant,[],"['G3', 'C4', 'E4', 'Bb4']","[35, 40, 44, 50]"
D,other,[],"['Ab3', 'D4', 'F4', 'B4']","[36, 42, 45, 51]"
C,dominant,[],"['Bb3', 'E4', 'G4', 'C5']","[38, 44, 47, 52]"
D,other,[],"['F3', 'Ab3', 'B3', 'D4']","[33, 36, 39, 42]"
D,other,[],"['Ab3', 'B3', 'D4', 'F4']","[36, 39, 42, 45]"
D,other,[],"['C4', 'Eb4', 'F#4', 'A4']","[40, 43, 46, 49]"
D,other,[],"['D4', 'F4', 'Ab4', 'B4']","[42, 45, 48, 51]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb2', 'A3', 'D4', 'G4', 'C5', 'E5']","[26, 37, 42, 47, 52, 56]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'F4', 'A4', 'C5']","[25, 35, 41, 45, 49, 52]"
D,minor-ninth,[],"['D3', 'F3', 'C4', 'E4', 'A4']","[30, 33, 40, 44, 49]"
C,minor-11th,[],"['C3', 'Eb3', 'Bb3', 'D4', 'F4']","[28, 31, 38, 42, 45]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'A3', 'Eb4', 'Gb4', 'D5']","[21, 37, 43, 46, 54]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb2', 'D3', 'G3', 'C4', 'E4']","[26, 30, 35, 40, 44]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A2', 'G3', 'C#4', 'F4', 'A4', 'C5']","[25, 35, 41, 45, 49, 52]"
D,minor-11th,[],"['D3', 'F3', 'B3', 'D4', 'G4']","[30, 33, 39, 42, 47]"
E,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['E3', 'G#3', 'D4', 'G4', 'C5']","[32, 36, 42, 47, 52]"
A,minor-ninth,[],"['A1', 'C4', 'E4', 'G4', 'B4']","[13, 40, 44, 47, 51]"
D,minor-seventh,[],"['D2', 'A4', 'C5', 'F5']","[18, 49, 52, 57]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb1', 'D4', 'G4', 'C5', 'E5']","[14, 42, 47, 52, 56]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A1', 'C#4', 'F4', 'A4', 'C5']","[13, 41, 45, 49, 52]"
D,minor-ninth,[],"['D2', 'C4', 'E4', 'F4', 'A4']","[18, 40, 44, 45, 49]"
Db,dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['D2', 'C4', 'E4', 'F4', 'A4']","[18, 40, 44, 45, 49]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Eb3', 'Gb3', 'A3', 'D4', 'Eb5']","[31, 34, 37, 42, 55]"
A,minor-ninth,[],"['G#3', 'B3', 'C4', 'E4', 'D5']","[36, 39, 40, 44, 54]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb1', 'E5', 'C6', 'E6']","[14, 56, 64, 68]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A1', 'C5', 'A5', 'C6']","[13, 52, 61, 64]"
D,minor-ninth,[],"['D2', 'A4', 'F5', 'A5']","[18, 49, 57, 61]"
Db,dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Db3', 'F3', 'B3', 'Eb4', 'G4']","[29, 33, 39, 43, 47]"
C,minor-11th,[],"['C3', 'Eb3', 'Bb3', 'D4', 'F4']","[28, 31, 38, 42, 45]"
F,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F2', 'Eb3', 'Eb4', 'Gb4', 'A4', 'D5']","[21, 31, 43, 46, 49, 54]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb1', 'G3', 'C4', 'E4']","[14, 35, 40, 44]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A1', 'C#4', 'G4', 'C5']","[13, 41, 47, 52]"
D,minor-11th,[],"['D2', 'B3', 'D4', 'E4', 'G4']","[18, 39, 42, 44, 47]"
E,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['E2', 'D4', 'F4', 'G#4', 'C5']","[20, 42, 45, 48, 52]"
A,minor-ninth,[],"['A1', 'C4', 'E4', 'G4', 'B4']","[13, 40, 44, 47, 51]"
D,minor-seventh,[],"['D2', 'A4', 'C5', 'D5', 'F5']","[18, 49, 52, 54, 57]"
Bb,major,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['D2', 'A2', 'G4', 'A4', 'C5', 'E5']","[18, 25, 47, 49, 52, 56]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['A1', 'C#4', 'F4', 'G4', 'C5']","[13, 41, 45, 47, 52]"
D,minor-sixth,"[{'degree': '9', 'alter': '0', 'type': 'add'}]","['D2', 'A2', 'F3', 'B3', 'E4', 'A4']","[18, 25, 33, 39, 44, 49]"
D,dominant,[],"['D3', 'C4', 'E4', 'F#4', 'B4', 'D5']","[30, 40, 44, 46, 51, 54]"
G,major,[],"['G2', 'F#3', 'B3', 'F#4', 'B4']","[23, 34, 39, 46, 51]"
Bb,dominant,[],"['Bb2', 'Ab3', 'C4', 'D4', 'G4']","[26, 36, 40, 42, 47]"
Eb,major,[],"['Eb3', 'Bb3', 'D4', 'F4', 'G4', 'Bb4']","[31, 38, 42, 45, 47, 50]"
A,minor-seventh,[],"['A2', 'E3', 'C4', 'D4', 'G4', 'B4']","[25, 32, 40, 42, 47, 51]"
D,dominant,[],"['D3', 'C4', 'C4', 'E4', 'F#4', 'A4']","[30, 40, 40, 44, 46, 49]"
G,major,[],"['G2', 'F#3', 'D4', 'F#4', 'D5']","[23, 34, 42, 46, 54]"
Bb,dominant,[],"['Bb2', 'G#3', 'C4', 'D4', 'G4', 'Bb4']","[26, 36, 40, 42, 47, 50]"
Eb,major,[],"['Eb2', 'G3', 'Bb3', 'D4', 'G4']","[19, 35, 38, 42, 47]"
F#,dominant,[],"['F#2', 'E3', 'G#3', 'Bb3', 'Eb4']","[22, 32, 36, 38, 43]"
B,major,[],"['B2', 'F#3', 'Bb3', 'C#4', 'Eb4', 'F#4']","[27, 34, 38, 41, 43, 46]"
F,minor-seventh,[],"['F2', 'G#3', 'C4', 'Eb4', 'G4']","[21, 36, 40, 43, 47]"
Bb,dominant,[],"['Eb3', 'Bb3', 'D4', 'F4', 'G4', 'Bb4']","[31, 38, 42, 45, 47, 50]"
Eb,major,[],"['Eb3', 'Bb3', 'D4', 'F4', 'G4', 'Bb4']","[31, 38, 42, 45, 47, 50]"
A,minor-seventh,[],"['A2', 'E3', 'C4', 'D4', 'G4', 'B4']","[25, 32, 40, 42, 47, 51]"
D,dominant,[],"['G2', 'F#3', 'D4', 'F#4', 'A4', 'D5']","[23, 34, 42, 46, 49, 54]"
G,major,[],"['G2', 'F#3', 'D4', 'F#4', 'A4', 'D5']","[23, 34, 42, 46, 49, 54]"
C#,minor-seventh,[],"['C#3', 'G#3', 'E4', 'F#4', 'B4', 'Eb5']","[29, 36, 44, 46, 51, 55]"
F#,dominant,[],"['B3', 'F#4', 'Bb4', 'C#5', 'Eb5', 'F#5']","[39, 46, 50, 53, 55, 58]"
B,major,[],"['B3', 'F#4', 'Bb4', 'C#5', 'Eb5', 'F#5']","[39, 46, 50, 53, 55, 58]"
F,minor-seventh,[],"['F3', 'C4', 'G#4', 'Bb4', 'Eb5', 'G5']","[33, 40, 48, 50, 55, 59]"
Bb,dominant,[],"['Eb3', 'Bb3', 'D5', 'F5', 'G5', 'Bb5']","[31, 38, 54, 57, 59, 62]"
Eb,major,[],"['Eb3', 'Bb3', 'D5', 'F5', 'G5', 'Bb5']","[31, 38, 54, 57, 59, 62]"
C#,minor-seventh,[],"['C#4', 'E4', 'G#4', 'B4', 'Eb5', 'F#5']","[41, 44, 48, 51, 55, 58]"
F#,dominant,[],"['F#3', 'E4', 'G#4', 'Bb4', 'Eb5', 'F#5']","[34, 44, 48, 50, 55, 58]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,major,[],"['Bb2', 'F3', 'D4', 'G4', 'Bb4']","[26, 33, 42, 47, 50]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['G2', 'F3', 'B3', 'F4', 'Bb4']","[23, 33, 39, 45, 50]"
C,minor-ninth,[],"['C3', 'Eb3', 'D4', 'G4', 'Bb4']","[28, 31, 42, 47, 50]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb3', 'Eb4', 'A4', 'C5']","[21, 31, 43, 49, 52]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['G2', 'F3', 'B3', 'F4', 'Bb4']","[23, 33, 39, 45, 50]"
G,minor-seventh,[],"['G2', 'F4', 'Bb4']","[23, 45, 50]"
C,minor-seventh,[],"['C3', 'Eb4', 'Bb4']","[28, 43, 50]"
F,dominant,[],"['Bb2', 'Ab3', 'F4', 'D5']","[26, 36, 45, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['G2', 'F3', 'B3', 'F4', 'Bb4']","[23, 33, 39, 45, 50]"
G,minor-seventh,[],"['G2', 'F4', 'Bb4']","[23, 45, 50]"
C,minor-seventh,[],"['C3', 'Eb4', 'Bb4']","[28, 43, 50]"
Bb,dominant,[],"['Bb1', 'F4', 'C#5']","[14, 45, 53]"
Eb,dominant,[],"['G4', 'Db5', 'F5']","[47, 53, 57]"
Bb,dominant,[],"['Bb2', 'Ab3', 'D4']","[26, 36, 42]"
C,minor-seventh,[],"['C3', 'Bb4', 'Eb5', 'G5']","[28, 50, 55, 59]"
F,dominant,[],"['F2', 'Eb4', 'Bb4']","[21, 43, 50]"
C,minor-seventh,[],"['C3', 'Eb4', 'Bb4']","[28, 43, 50]"
Bb,dominant,[],"['Bb1', 'Ab4', 'D5']","[14, 48, 54]"
C,minor-seventh,[],"['C3', 'Bb4', 'Eb5']","[28, 50, 55]"
F,dominant,[],"['F3', 'Gb4', 'A4', 'Db5']","[33, 46, 49, 53]"
C,minor-seventh,[],"['C3', 'Bb4', 'Eb5']","[28, 50, 55]"
F,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['F2', 'A4', 'C#5']","[21, 49, 53]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['G2', 'F3', 'B3', 'F4', 'Bb4']","[23, 33, 39, 45, 50]"
G,minor-seventh,[],"['G2', 'F4', 'Bb4']","[23, 45, 50]"
C,minor-seventh,[],"['C3', 'Eb4', 'Bb4']","[28, 43, 50]"
F,dominant,[],"['C3', 'Eb4', 'Bb4']","[28, 43, 50]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,major,[],"['F4', 'G4', 'D5']","[45, 47, 54]"
G,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'F4', 'Ab4', 'Eb5']","[21, 45, 48, 55]"
C,minor-ninth,[],"['F3', 'Eb4', 'G4', 'D5']","[33, 43, 47, 54]"
F,dominant,"[{'degree': '5', 'alter': '-1', 'type': 'alter'}, {'degree': '5', 'alter': '1', 'type': 'add'}, {'degree': '9', 'alter': '-1', 'type': 'add'}, {'degree': '9', 'alter': '1', 'type': 'add'}]","['F2', 'Eb4', 'Gb4', 'A4', 'Db5']","[21, 43, 46, 49, 53]"
Bb,dominant-ninth,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Ab3', 'D4', 'G4', 'C5', 'E5', 'G5']","[36, 42, 47, 52, 56, 59]"
F,dominant-13th,[],"['Eb3', 'A3', 'D4', 'F5']","[31, 37, 42, 57]"
Bb,dominant-ninth,[],"['D3', 'Ab3', 'C4']","[30, 36, 40]"
F,dominant-13th,[],"['Eb3', 'A3', 'D4', 'F5']","[31, 37, 42, 57]"
Bb,dominant-ninth,[],"['D3', 'Ab3', 'C4', 'F5']","[30, 36, 40, 57]"
F,dominant-13th,[],"['Eb3', 'A3', 'D4', 'F5']","[31, 37, 42, 57]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['F#3', 'C4', 'F4', 'A4']","[34, 40, 45, 49]"
G,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['F3', 'B3', 'Eb4', 'F5']","[33, 39, 43, 57]"
Bb,dominant-ninth,[],"['D3', 'Ab3', 'C4', 'Ab4']","[30, 36, 40, 48]"
F,dominant-13th,[],"['Eb3', 'A3', 'D4', 'F4']","[31, 37, 42, 45]"
D,dominant,"[{'degree': '9', 'alter': '-1', 'type': 'add'}]","['Eb3', 'A3', 'D4', 'F4']","[31, 37, 42, 45]"
G,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['F3', 'B3', 'Eb4']","[33, 39, 43]"
C,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['E3', 'Bb3', 'D4']","[32, 38, 42]"
F,dominant-13th,[],"['F3', 'Eb4', 'A4', 'D5', 'F5']","[33, 43, 49, 54, 57]"
Bb,dominant-ninth,[],"['A2', 'Ab3', 'C4']","[25, 36, 40]"
F,dominant-13th,[],"['F2', 'A4', 'D5', 'F5']","[21, 49, 54, 57]"
B,dominant-ninth,[],"['Bb2', 'Ab4', 'C5', 'F5']","[26, 48, 52, 57]"
F,dominant-13th,[],"['F2', 'A4', 'D5', 'F5']","[21, 49, 54, 57]"
G,dominant,"[{'degree': '13', 'alter': '-1', 'type': 'add'}]","['B2', 'F4', 'G4', 'B4', 'F5']","[27, 45, 47, 51, 57]"
Bb,dominant-ninth,[],"['Bb1', 'Ab3', 'D4', 'Ab4']","[14, 36, 42, 48]"
F,dominant-13th,[],"['F2', 'A3', 'D4', 'F4']","[21, 37, 42, 45]"
C,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}]","['Bb2', 'E3', 'Bb3', 'Eb4']","[26, 32, 38, 43]"
C,major,[],"['C1', 'C2', 'G3', 'C4', 'E4']","[4, 16, 35, 40, 44]"
E,dominant,[],"['E1', 'E2', 'G#3', 'D4', 'E4']","[8, 20, 36, 42, 44]"
A,minor-seventh,[],"['A1', 'A2', 'G3', 'C4', 'E4']","[13, 25, 35, 40, 44]"
G,minor-seventh,[],"['G1', 'G2', 'F3', 'Bb3', 'D4']","[11, 23, 33, 38, 42]"
C,major,[],"['C2', 'C3', 'G3', 'C4', 'E4']","[16, 28, 35, 40, 44]"
F,major,[],"['F1', 'F2', 'F3', 'A3', 'C4']","[9, 21, 33, 37, 40]"
C,major,[],"['E1', 'E2', 'E3', 'G3', 'C4']","[8, 20, 32, 35, 40]"
D,minor-seventh,[],"['D1', 'D2', 'F3', 'A3', 'C4']","[6, 18, 33, 37, 40]"
C,major,[],"['G1', 'G2', 'G3', 'C4', 'E4']","[11, 23, 35, 40, 44]"
G,major,[],"['G1', 'G2', 'G3', 'B3', 'D4']","[11, 23, 35, 39, 42]"
C,major,[],"['G3', 'C4', 'E4']","[35, 40, 44]"
E,dominant,[],"['E1', 'E2', 'G#3', 'D4', 'E4']","[8, 20, 36, 42, 44]"
A,minor-seventh,[],"['G3', 'C4', 'E4']","[35, 40, 44]"
G,minor-seventh,[],"['G1', 'G2', 'F3', 'Bb3', 'D4']","[11, 23, 33, 38, 42]"
C,major,[],"['C2', 'C3', 'G3', 'C4', 'E4']","[16, 28, 35, 40, 44]"
F,major,[],"['F3', 'A3', 'C4']","[33, 37, 40]"
C,major,[],"['E1', 'E2', 'E3', 'G3', 'C4']","[8, 20, 32, 35, 40]"
D,minor-seventh,[],"['F3', 'A3', 'C4']","[33, 37, 40]"
C,major,[],"['G1', 'G2', 'G3', 'C4', 'E4']","[11, 23, 35, 40, 44]"
G,major,[],"['G1', 'G2', 'G3', 'B3', 'D4']","[11, 23, 35, 39, 42]"
E,dominant,[],"['E1', 'E2', 'G#3', 'D4', 'E4']","[8, 20, 36, 42, 44]"
G,minor-13th,[],"['G1', 'G2', 'F3', 'Bb3', 'E4']","[11, 23, 33, 38, 44]"
C,major,[],"['C2', 'C3', 'E3', 'G3', 'C4']","[16, 28, 32, 35, 40]"
C,major,[],"['E1', 'E2', 'E3', 'G3', 'C4']","[8, 20, 32, 35, 40]"
D,minor-seventh,[],"['F3', 'A3', 'C4']","[33, 37, 40]"
C,major,[],"['G1', 'G2', 'G3', 'C4', 'E4']","[11, 23, 35, 40, 44]"
G,major,[],"['G1', 'G2', 'G3', 'B3', 'D4']","[11, 23, 35, 39, 42]"
E,dominant,[],"['E1', 'E2', 'G#3', 'D4', 'E4']","[8, 20, 36, 42, 44]"
A,minor-seventh,[],"['C4', 'E4', 'A4']","[40, 44, 49]"
G,minor-13th,[],"['G1', 'G2', 'F4', 'Bb4', 'E5']","[11, 23, 45, 50, 56]"
C,major,[],"['C2', 'C3', 'E4', 'G4', 'C5']","[16, 28, 44, 47, 52]"
C,major,[],"['E1', 'E2', 'E4', 'G4', 'C5']","[8, 20, 44, 47, 52]"
D,minor-seventh,[],"['D1', 'D2', 'F4', 'A4', 'C5']","[6, 18, 45, 49, 52]"
C,major,[],"['E1', 'E2', 'E4', 'G4', 'C5']","[8, 20, 44, 47, 52]"
F,major,[],"['F1', 'F2', 'F4', 'A4', 'C5']","[9, 21, 45, 49, 52]"
F#,diminished,[],"['F#1', 'F#2', 'F#4', 'A4', 'C5']","[10, 22, 46, 49, 52]"
G,dominant-11th,[],"['G1', 'G2', 'F4', 'A4', 'C5', 'D5']","[11, 23, 45, 49, 52, 54]"
G,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['G1', 'G2', 'F4', 'B4', 'D#5']","[11, 23, 45, 51, 55]"
C,major,[],"['G3', 'C4', 'E4']","[35, 40, 44]"
E,dominant,[],"['E1', 'E2', 'G#3', 'D4', 'E4']","[8, 20, 36, 42, 44]"
A,minor-seventh,[],"['G3', 'C4', 'E4']","[35, 40, 44]"
G,minor-seventh,[],"['G1', 'G2', 'F3', 'Bb3', 'D4']","[11, 23, 33, 38, 42]"
C,major,[],"['C2', 'C3', 'G3', 'C4', 'E4']","[16, 28, 35, 40, 44]"
F,major,[],"['F3', 'A3', 'C4']","[33, 37, 40]"
C,major,[],"['E1', 'E2', 'E3', 'G3', 'C4']","[8, 20, 32, 35, 40]"
D,minor-seventh,[],"['F3', 'A3', 'C4']","[33, 37, 40]"
C,major,[],"['G1', 'G2', 'G3', 'C4', 'E4']","[11, 23, 35, 40, 44]"
G,major,[],"['G1', 'G2', 'G3', 'B3', 'D4']","[11, 23, 35, 39, 42]"
Bb,major-13th,"[{'degree': '11', 'alter': '1', 'type': 'alter'}]","['Bb2', 'F3', 'A3', 'D4', 'G4', 'C5', 'E5']","[26, 33, 37, 42, 47, 52, 56]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","['A2', 'G3', 'Db4', 'F4', 'G4', 'C5']","[25, 35, 41, 45, 47, 52]"
D,minor-ninth,[],"['D2', 'A2', 'F3', 'C4', 'E4', 'A4']","[18, 25, 33, 40, 44, 49]"
C,suspended-fourth,"[{'degree': '7', 'alter': '0', 'type': 'add'}, {'degree': '9', 'alter': '0', 'type': 'add'}]","['C3', 'Bb3', 'D4', 'Eb4', 'F4']","[28, 38, 42, 43, 45]"
F,dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","['F2', 'Eb3', 'A3', 'D4', 'F#4', 'A4', 'D5']","[21, 31, 37, 42, 46, 49, 54]"
Bb,major-seventh,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Bb2', 'F3', 'A3', 'Bb3', 'D4', 'E4']","[26, 33, 37, 38, 42, 44]"
Bb,half-diminished,[],"['Bb2', 'Fb3', 'Ab3', 'Db4']","[26, 32, 36, 41]"
A,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","['A2', 'G3', 'Db4', 'F4', 'A4', 'C5']","[25, 35, 41, 45, 49, 52]"
D,minor-11th,[],"['D3', 'F3', 'A3', 'C4', 'E4', 'G4']","[30, 33, 37, 40, 44, 47]"
E,dominant,"[{'degree': '9', 'alter': '1', 'type': 'add'}, {'degree': '5', 'alter': '1', 'type': 'alter'}]","['E3', 'G#3', 'D4', 'G4', 'C5']","[32, 36, 42, 47, 52]"
A,minor-ninth,[],"['A2', 'G3', 'C4', 'E4', 'G4', 'B4']","[25, 35, 40, 44, 47, 51]"
D,minor-11th,[],"['D3', 'A3', 'D4', 'G4', 'C5', 'F5']","[30, 37, 42, 47, 52, 57]"
F,major,[],"['F2', 'A3', 'C4', 'E4', 'G4']","[21, 37, 40, 44, 47]"
C,dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","['C2', 'Bb3', 'Db4', 'E4', 'A4']","[16, 38, 41, 44, 49]"
F,major,[],"['F2', 'A3', 'C4', 'E4', 'G4']","[21, 37, 40, 44, 47]"
C,dominant-13th,"[{'degree': '9', 'alter': '-1', 'type': 'alter'}]","['C2', 'Bb3', 'Db4', 'E4', 'A4']","[16, 38, 41, 44, 49]"
F,major,[],"['F3', 'A3', 'E4', 'G4', 'E5']","[33, 37, 44, 47, 56]"
Eb,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Eb3', 'G3', 'C4', 'Db4', 'F4', 'A4']","[31, 35, 40, 41, 45, 49]"
F,major,[],"['F3', 'A3', 'E4', 'G4', 'E5']","[33, 37, 44, 47, 56]"
Eb,dominant,"[{'degree': '11', 'alter': '1', 'type': 'add'}]","['Eb3', 'G3', 'C4', 'Db4', 'F4', 'A4']","[31, 35, 40, 41, 45, 49]"
B,half-diminished,[],"['B2', 'A3', 'D4', 'A4']","[27, 37, 42, 49]"
Bb,minor-seventh,[],"['Bb2', 'Ab3', 'Db4']","[26, 36, 41]"
A,minor-seventh,[],"['A2', 'G3', 'C4', 'G4']","[25, 35, 40, 47]"
Ab,minor-seventh,[],"['Ab2', 'Gb3', 'Cb4']","[24, 34, 39]"
G,minor-seventh,[],"['G2', 'F3', 'Bb3', 'D4']","[23, 33, 38, 42]"
G,half-diminished,[],"['C2', 'G3', 'Bb3', 'Db4', 'F4']","[16, 35, 38, 41, 45]"
F,major,[],"['F2', 'E3', 'A3', 'C4', 'G4']","[21, 32, 37, 40, 47]"
