root,type,extensions,notes,note_numbers
Eb,dominant,[],"['C4', 'F4', 'Bb4', 'Eb5']","[40, 45, 50, 55]"
C,none,[],"['C4', 'F4', 'Bb4', 'Eb5']","[40, 45, 50, 55]"
A,major-seventh,[],"['Ab3', 'D#4', 'F#4', 'B4']","[36, 43, 46, 51]"
A,major-seventh,[],"['Ab3', 'D#4', 'F#4', 'B4']","[36, 43, 46, 51]"
Ab,major-seventh,[],"['Ab3', 'Db4', 'F4', 'Bb4']","[36, 41, 45, 50]"
Ab,major-seventh,[],"['Ab3', 'Db4', 'F4', 'Bb4']","[36, 41, 45, 50]"
B,minor-seventh,[],"['B3', 'C#4', 'F#4', 'A4']","[39, 41, 46, 49]"
E,dominant,[],"['A#3', 'C#4', 'F#4']","[38, 41, 46]"
Bb,minor-seventh,[],"['F3', 'C4', 'Eb4', 'G4']","[33, 40, 43, 47]"
Eb,dominant,[],"['Eb3', 'Ab3', 'C4', 'F4']","[31, 36, 40, 45]"
A,minor-seventh,[],"['E3', 'B3', 'D4', 'G4']","[32, 39, 42, 47]"
D,dominant,[],"['D3', 'Gb3', 'B3', 'E4']","[30, 34, 39, 44]"
Db,dominant,[],"['Ab3', 'Bb3', 'Cb4', 'Db4']","[36, 38, 39, 41]"
Ab,major,[],"['Ab3', 'C4', 'Db4', 'Eb4']","[36, 40, 41, 43]"
Db,dominant,[],"['Ab4', 'Bb4', 'Cb5', 'Db5']","[48, 50, 51, 53]"
Ab,major,[],"['F4', 'G4', 'Ab4', 'Bb4']","[45, 47, 48, 50]"
Gb,dominant,[],"['Db4', 'Eb4', 'Fb4', 'Gb4']","[41, 43, 44, 46]"
Ab,major,[],"['Eb4', 'F4', 'G4', 'Ab4']","[43, 45, 47, 48]"
E,dominant,[],"['A4', 'C5', 'D5', 'Eb5']","[49, 52, 54, 55]"
Db,dominant,[],"['Ab4', 'Bb4', 'Cb5', 'Db5']","[48, 50, 51, 53]"
D,dominant,[],"['Bb4', 'C5', 'Db5', 'Eb5']","[50, 52, 53, 55]"
D,minor-sixth,[],"['D3', 'B3', 'F4', 'A4', 'E5']","[30, 39, 45, 49, 56]"
Bb,dominant-13th,[],"['Bb2', 'Ab3', 'D4', 'G4', 'C5']","[26, 36, 42, 47, 52]"
E,half-diminished,[],"['E3', 'Bb3', 'D4', 'A4']","[32, 38, 42, 49]"
A,dominant,"[{'degree': '5', 'alter': '1', 'type': 'alter'}]","['A2', 'G3', 'C#4', 'F4']","[25, 35, 41, 45]"
A,dominant,[],"['A2', 'G3', 'C#4', 'E4']","[25, 35, 41, 44]"
